protein_1	A1URA3
protein_5602	A9BJY3
protein_5603	B0RH73
protein_5604	B1HW86
protein_5605	B2A7A8
protein_5606	A7GMD4
protein_5607	P86222
protein_5608	P80477
protein_5609	A5VB78
protein_5610	Q6MBM7
protein_5611	Q89MI2
protein_5612	A6LCB6
protein_5613	Q1MPA2
protein_5614	Q9LJY0
protein_5615	B9DMK9
protein_5616	P80874
protein_5617	C0SPA5
protein_5618	P20805
protein_5619	Q3SFW2
protein_5620	A1A1M6
protein_5621	A0A7Y7THC3
protein_5622	A0A841HKJ7
protein_5623	Q72J22
protein_5624	Q7VBY8
protein_5625	Q899S7
protein_5626	Q8RG96
protein_5627	Q9RAA9
protein_5628	A1BHL3
protein_5629	A9KKU2
protein_5630	B6JCI0
protein_5631	C6DEF0
protein_5632	P27370
protein_5633	Q1LI62
protein_5634	Q1LI44
protein_5635	Q1LNE6
protein_5636	Q1LMC7
protein_5637	P17265
protein_5638	Q9RTR6
protein_5639	B5ZAG0
protein_5640	Q82TP9
protein_5641	A6GZG2
protein_5642	Q1LU78
protein_5643	P06222
protein_5644	O34486
protein_5645	P05043
protein_5646	P06533
protein_5647	Q08787
protein_5648	P96698
protein_5649	Q9KC68
protein_5650	Q5WEJ3
protein_5651	P24228
protein_5652	B0R3H3
protein_5653	Q39ZS1
protein_5654	Q3SKW8
protein_5655	Q57FU7
protein_5656	Q5ZNC8
protein_5657	Q6F1J9
protein_5658	Q0P9V4
protein_5659	Q1D0P7
protein_5660	Q24UN6
protein_5661	Q2RL77
protein_5662	Q3A231
protein_5663	Q1LHM4
protein_5664	Q1LI37
protein_5665	Q1LIM7
protein_5666	Q1LKH7
protein_5667	Q4L4H7
protein_5668	O06159
protein_5669	O53368
protein_5670	A8ZRW7
protein_5671	Q9RUY3
protein_5672	Q6A811
protein_5673	A4XKM9
protein_5674	Q7UWD1
protein_5675	P06202
protein_5676	Q2NIH7
protein_5677	Q2SS60
protein_5678	Q3A8S2
protein_5679	Q47EF5
protein_5680	Q5HNY1
protein_5681	Q63XR8
protein_5682	Q60CT7
protein_5683	Q6KHS0
protein_5684	Q7NCU2
protein_5685	Q88V07
protein_5686	A6KXS5
protein_5687	C1CZB4
protein_5688	A0LR74
protein_5689	C1F8X6
protein_5690	Q1AV13
protein_5691	P37522
protein_5692	P58253
protein_5693	Q81QD6
protein_5694	C0SP79
protein_5695	O68685
protein_5696	Q56243
protein_5697	Q5YNY7
protein_5698	Q6AL48
protein_5699	Q73LJ8
protein_5700	Q837V6
protein_5701	B3PN01
protein_5702	C4L427
protein_5703	P0A3I8
protein_5704	P80872
protein_5705	Q1WUF0
protein_5706	D0LWB8
protein_5707	Q39102
protein_5708	A1WSY5
protein_5709	Q0ADD6
protein_5710	Q9S449
protein_5711	P33647
protein_5712	P9WN43
protein_5713	Q48211
protein_5714	P52560
protein_5715	P24202
protein_5716	Q9RTK7
protein_5717	B1VXB3
protein_5718	Q67NR4
protein_5719	Q9KA70
protein_5720	Q1AR91
protein_5721	P75851
protein_5722	B5XXW1
protein_5723	P0A898
protein_5724	Q9RR45
protein_5725	A8F811
protein_5726	A1SS95
protein_5727	B4R8Q2
protein_5728	Q3K543
protein_5729	Q8D2N5
protein_5730	A1U4C6
protein_5731	A4IY77
protein_5732	P0AE85
protein_5733	Q45588
protein_5734	P0ABE2
protein_5735	Q97GB9
protein_5736	C4Z9Q0
protein_5737	Q97JM5
protein_5738	B0R502
protein_5739	Q5JGR7
protein_5740	Q5L0J5
protein_5741	Q1RI96
protein_5742	P9WQB7
protein_5743	P9WNE7
protein_5744	P9WI69
protein_5745	P39065
protein_5746	Q2ST57
protein_5747	Q3ABT8
protein_5748	Q47Z18
protein_5749	Q5L4T7
protein_5750	B1YMD8
protein_5751	B2TIC3
protein_5752	B4RXN1
protein_5753	B8CW79
protein_5754	B8J008
protein_5755	B3R0J0
protein_5756	B7GM51
protein_5757	B8J0Q0
protein_5758	C1DBB4
protein_5759	O51498
protein_5760	Q0ALX7
protein_5761	Q15ZV5
protein_5762	Q1QVT7
protein_5763	Q2JP68
protein_5764	Q30R94
protein_5765	Q9Z616
protein_5766	P23874
protein_5767	P9WKA9
protein_5768	P9WLN2
protein_5769	Q9LD95
protein_5770	Q6LUA8
protein_5771	Q9HHC2
protein_5772	A7Z972
protein_5773	O83824
protein_5774	A0A2M9XIM0
protein_5775	A0A2V7MBK1
protein_5776	Q8RFK2
protein_5777	Q9PHM5
protein_5778	P46139
protein_5779	O31663
protein_5780	H7FWB6
protein_5781	P54503
protein_5782	O31673
protein_5783	Q2G0P6
protein_5784	C1CYP4
protein_5785	B0S0L4
protein_5786	B1I0W9
protein_5787	B2GBZ5
protein_5788	B5EJE1
protein_5789	B7J0R6
protein_5790	Q0AYB0
protein_5791	Q3AQS3
protein_5792	Q8CWM5
protein_5793	A0A1H4QXU9
protein_5794	Q605W1
protein_5795	Q6GF73
protein_5796	Q82S98
protein_5797	Q2J7H0
protein_5798	A3DEN2
protein_5799	O07634
protein_5800	P0ABN1
protein_5801	B1Y787
protein_5802	A0A1W1WX03
protein_5803	A0A2E5T831
protein_5804	A0R890
protein_5805	B6YQU3
protein_5806	Q9YFK4
protein_5807	P16100
protein_5808	Q55027
protein_5809	Q88Z52
protein_5810	A9AUH0
protein_5811	Q72QA1
protein_5812	P0C077
protein_5813	P9WJA3
protein_5814	P9WGW4
protein_5815	P9WQ02
protein_5816	P12254
protein_5817	P31845
protein_5818	Q21HN4
protein_5819	Q2RHE9
protein_5820	Q38X61
protein_5821	Q479M6
protein_5822	Q55750
protein_5823	B4SGW0
protein_5824	B8D742
protein_5825	B9DKT3
protein_5826	C1A8T0
protein_5827	C6DFJ9
protein_5828	A0A084XUF0
protein_5829	A0A0N0XJH6
protein_5830	A0A150RKP0
protein_5831	A0A1H9DTC4
protein_5832	A5HYX0
protein_5833	A6LPC4
protein_5834	A7NQM8
protein_5835	A9BGA3
protein_5836	B0S1C5
protein_5837	A1U749
protein_5838	A3DBU3
protein_5839	A4XK85
protein_5840	A5HYY0
protein_5841	A6Q3Z8
protein_5842	Q1D801
protein_5843	Q47XA7
protein_5844	Q7V4D3
protein_5845	Q9PPG2
protein_5846	Q47RP1
protein_5847	A0A2W4P6I6
protein_5848	A0A3C1Z5Y1
protein_5849	A0A6H9I257
protein_5850	A0A7H8Q287
protein_5851	Q114T6
protein_5852	Q1IHD8
protein_5853	Q2G9G8
protein_5854	Q2RS75
protein_5855	Q31KY9
protein_5856	B2S1L1
protein_5857	B3WC55
protein_5858	B7GPV4
protein_5859	B9DNE5
protein_5860	C1F7S7
protein_5861	B8FZD1
protein_5862	Q8TV10
protein_5863	Q5WGY8
protein_5864	Q93ML3
protein_5865	A6Q776
protein_5866	Q5SHS3
protein_5867	A5IZI0
protein_5868	Q04TV5
protein_5869	Q6AQX3
protein_5870	A5IJD3
protein_5871	A5N206
protein_5872	A6V7X3
protein_5873	A8F3S6
protein_5874	A9HI30
protein_5875	B0TDL0
protein_5876	Q465J4
protein_5877	P52037
protein_5878	A7HT37
protein_5879	Q46BQ2
protein_5880	Q72PJ7
protein_5881	B0S9J3
protein_5882	Q5UQL3
protein_5883	Q5WFT5
protein_5884	Q09SZ8
protein_5885	A5F375
protein_5886	A1KVM7
protein_5887	A7HJT4
protein_5888	B5YID8
protein_5889	Q0AXH9
protein_5890	Q4FNI5
protein_5891	Q5N3S0
protein_5892	P37019
protein_5893	O06493
protein_5894	P76217
protein_5895	B7IFU1
protein_5896	A3DF27
protein_5897	B0K1A5
protein_5898	B8DG52
protein_5899	G2JZ42
protein_5900	P42370
protein_5901	Q7UNQ8
protein_5902	A5D6D2
protein_5903	Q1AWE7
protein_5904	P0AAS5
protein_5905	A1RS58
protein_5906	Q8L397
protein_5907	A1AVI4
protein_5908	B3QW61
protein_5909	Q65V95
protein_5910	B2UMY1
protein_5911	A0A557QGA6
protein_5912	A0A6I1KGJ9
protein_5913	Q45790
protein_5914	C0H450
protein_5915	Q5WG37
protein_5916	P56411
protein_5917	B7IFE0
protein_5918	P09143
protein_5919	P0AG20
protein_5920	P9WHP5
protein_5921	Q1MA52
protein_5922	Q8ZPX9
protein_5923	B6YR38
protein_5924	B8I2Y3
protein_5925	C1D1Y6
protein_5926	Q6M0I7
protein_5927	Q9VZU2
protein_5928	Q5L8X0
protein_5929	A5IKG7
protein_5930	Q04E23
protein_5931	B5YJN4
protein_5932	Q04DH2
protein_5933	Q6F0Z7
protein_5934	A7HQQ1
protein_5935	Q8EW28
protein_5936	A2RIT7
protein_5937	B8D7W9
protein_5938	Q5LUZ4
protein_5939	Q8XWR3
protein_5940	A3DDI1
protein_5941	Q8PIJ2
protein_5942	Q11IE7
protein_5943	Q97GC0
protein_5944	A0A6N8ITV2
protein_5945	Q01X96
protein_5946	Q0B0A0
protein_5947	Q16AI3
protein_5948	Q1MRT4
protein_5949	Q2JIA6
protein_5950	O66512
protein_5951	Q1LTX6
protein_5952	Q4UJB1
protein_5953	Q835R9
protein_5954	A0A2N2ULV6
protein_5955	A0A359ENL1
protein_5956	C3XR70
protein_5957	Q0VPK3
protein_5958	Q72NW0
protein_5959	B3CQ25
protein_5960	Q9XCB0
protein_5961	Q2GJE2
protein_5962	Q2S3C9
protein_5963	Q39RG3
protein_5964	Q3SIQ5
protein_5965	Q56829
protein_5966	Q6ABX9
protein_5967	P80478
protein_5968	B8D5I6
protein_5969	P69348
protein_5970	O25890
protein_5971	Q6F150
protein_5972	B5YAR3
protein_5973	A6SX19
protein_5974	C1F3T7
protein_5975	A5UIW0
protein_5976	Q6ARL2
protein_5977	O33336
protein_5978	I6YBZ8
protein_5979	P9WGP9
protein_5980	Q5KVB2
protein_5981	B1YK88
protein_5982	O34656
protein_5983	P39066
protein_5984	Q08311
protein_5985	Q058G2
protein_5986	Q8EWN6
protein_5987	A6LRN3
protein_5988	B3Q970
protein_5989	Q04VC9
protein_5990	Q1WVP2
protein_5991	Q2NJF9
protein_5992	Q30TI2
protein_5993	Q3B6Y7
protein_5994	Q4A8V0
protein_5995	P96318
protein_5996	Q8TWG5
protein_5997	A2CI50
protein_5998	Q7M827
protein_5999	D1CDT8
protein_6000	Q3JMH0
protein_6001	A5WGD0
protein_6002	Q1GCL9
protein_6003	A0B748
protein_6004	Q1AWE2
protein_6005	Q21JI8
protein_6006	Q2RHT6
protein_6007	Q38X70
protein_6008	Q47N42
protein_6009	A0A1H2XGY5
protein_6010	Q9KPS0
protein_6011	Q47HJ5
protein_6012	Q81WH6
protein_6013	P9WFD2
protein_6014	P9WQP1
protein_6015	A0A7W4LL23
protein_6016	Q97LQ2
protein_6017	Q9S1G2
protein_6018	A0LQR9
protein_6019	A1QYH7
protein_6020	A2RHW2
protein_6021	A0A838QHT3
protein_6022	A0A849GG83
protein_6023	A4XYG4
protein_6024	O51064
protein_6025	Q4A5T2
protein_6026	Q8K9T6
protein_6027	Q5SK28
protein_6028	A0LXG7
protein_6029	A1UR84
protein_6030	A3DH19
protein_6031	A4YRD9
protein_6032	A5IFV1
protein_6033	A1V6A8
protein_6034	A3M2U3
protein_6035	A5CES8
protein_6036	A5ISX9
protein_6037	A6TQM4
protein_6038	A9G9R0
protein_6039	B3ES47
protein_6040	P57632
protein_6041	Q2GGN4
protein_6042	Q6MMQ9
protein_6043	A0A6L4B9P7
protein_6044	Q46864
protein_6045	P0ACV4
protein_6046	Q9R9I1
protein_6047	O06006
protein_6048	P63204
protein_6049	Q0AWM1
protein_6050	Q31F72
protein_6051	Q72DW6
protein_6052	Q8Y0Q3
protein_6053	P0DKS2
protein_6054	A0A4R5DXC0
protein_6055	A0A6J5D9S4
protein_6056	P0A7Z4
protein_6057	Q46948
protein_6058	A7HK39
protein_6059	B5YFG2
protein_6060	Q2NJE3
protein_6061	O66627
protein_6062	Q6FER4
protein_6063	Q9ZE99
protein_6064	A5CSL4
protein_6065	A9BD80
protein_6066	Q8NNV7
protein_6067	A0LXS4
protein_6068	A1UU20
protein_6069	A3DH61
protein_6070	A5CEJ4
protein_6071	A5CQU5
protein_6072	A5IU71
protein_6073	A6TVN2
protein_6074	A8F0M4
protein_6075	A9FR00
protein_6076	A0A7W1BKL6
protein_6077	A0A2N2ZYD0
protein_6078	A0A2W5T1R9
protein_6079	B4UJV1
protein_6080	B8EMP4
protein_6081	B9EBI5
protein_6082	C1D5E0
protein_6083	O05678
protein_6084	P0AFX0
protein_6085	Q58991
protein_6086	P52426
protein_6087	Q9PHY2
protein_6088	P0A0A1
protein_6089	P06534
protein_6090	P06535
protein_6091	Q08788
protein_6092	O34779
protein_6093	P26905
protein_6094	Q1LQD3
protein_6095	Q1LPW7
protein_6096	B7UX51
protein_6097	P94544
protein_6098	P69739
protein_6099	Q47539
protein_6100	P0C6Q2
protein_6101	P0ABH9
protein_6102	P25746
protein_6103	Q6MEV1
protein_6104	Q7UKD1
protein_6105	Q8K923
protein_6106	Q98NW7
protein_6107	Q4A8N4
protein_6108	Q5P4A4
protein_6109	Q67T37
protein_6110	Q6MH30
protein_6111	Q7USB0
protein_6112	P49781
protein_6113	P37874
protein_6114	P0A523
protein_6115	A3DF24
protein_6116	Q70WY6
protein_6117	O67118
protein_6118	A9IYN9
protein_6119	Q0BXH7
protein_6120	A2SHH9
protein_6121	A5FWG2
protein_6122	B1YIX1
protein_6123	C3NBN0
protein_6124	Q2S5P8
protein_6125	Q8RB29
protein_6126	P61496
protein_6127	Q8Y6W7
protein_6128	A0PY67
protein_6129	A1VC43
protein_6130	A3N148
protein_6131	Q057V4
protein_6132	Q11UN5
protein_6133	Q1IN52
protein_6134	Q2RZH8
protein_6135	A0A6I2GN15
protein_6136	P28044
protein_6137	P54560
protein_6138	P80194
protein_6139	Q04GY7
protein_6140	Q0VR01
protein_6141	A0A3N1P155
protein_6142	A0A4V5MR24
protein_6143	A0A524KLP8
protein_6144	Q7M8A0
protein_6145	Q83NI7
protein_6146	Q8ERW5
protein_6147	Q8XZ19
protein_6148	Q9RTE6
protein_6149	Q9Z6C9
protein_6150	O06008
protein_6151	P73097
protein_6152	Q89AP5
protein_6153	A5CRA6
protein_6154	Q1LI50
protein_6155	Q1LPI8
protein_6156	Q1LI38
protein_6157	Q1LPL1
protein_6158	Q1LIH4
protein_6159	Q3J7E7
protein_6160	Q5WG56
protein_6161	P21883
protein_6162	P35721
protein_6163	B0R5U5
protein_6164	Q6HGE0
protein_6165	Q7NAF8
protein_6166	Q88U40
protein_6167	Q8EUN2
protein_6168	Q97GV2
protein_6169	Q5GSR4
protein_6170	Q608M9
protein_6171	Q6KH96
protein_6172	Q7NLT8
protein_6173	Q833H5
protein_6174	O66824
protein_6175	P35901
protein_6176	P57528
protein_6177	Q01TY0
protein_6178	Q0A598
protein_6179	A3N1B5
protein_6180	A4Z012
protein_6181	A5I2S2
protein_6182	A6TJ79
